Province/State,population,latitude,longitude
Guangdong,111690000,23.24,113.30
Shandong,100060000,36.24,118.24
Henan,95590000,33.54,113.30
Sichuan,83020000,30.08,102.56
Jiangsu,80290000,32.54,119.48
Hebei,75200000,39.18,116.42
Hunan,68600000,28.06,112.59
Anhui,62550000,31.50,117.00
Hubei,59020000,31.12,112.18
Zhejiang,56570000,29.12,129.30
Guangxi,48850000,23.6,108.3
Yunnan,48010000,25.03,101.52
Jiangxi,46220000,27.18,116.0
Liaoning,43690000,41.06,122.18
Fujian,39110000,25.54,118.18
Shaanxi,38350000,35.36,108.24
Heilongjiang,37890000,48.00,129.00
Shanxi,36820000,37.42,112.24
Guizhou,35550000,26.50,106.50
Chongqing,30750000,29.33,106.34
Jilin,27170000,43.42,126.12
Gansu,26260000,38.00,102.00
Inner Mongolia,25290000,44.00,113.00
Xinjiang,24450000,41.00,85.00
Shanghai,24180000,31.1343,121.2829
Beijing,21710000,39.55,116.23
Tianjin,15570000,39.08,117.11
Hainan,9170000,19.12,109.42
Hong Kong,7335384,22.40,114.14
Ningxia,6820000,37.28,106.03
Qinghai,5980000,35.00,96.00
Tibet,3370000,37.70,88.72
Macau,644900,22.20,113.55
